name,loc,size,area,price,price_sum,dire,floor,buildtime,advantage
东方城市花园二期,塘桥-东方路1881弄,3室2厅,142.4,66011,940,南北向,低层（共30层）,2005年建,"满五性价比高户型佳
                                        距6号线上海儿童医学中心站约721米"
宝华海尚郡领,北蔡-宝华海尚郡领成山路2388号,4室2厅,162,82099,1330,南北向,低层（共27层）,2015年建,"满五带花园送车位
                                        距13号线北蔡站约508米"
城市方园,中原-国伟路100弄,2室1厅,70,44000,308,南向,中层（共30层）,2013年建,满五优质教育总价低性价比高
浦江世博家园四街坊,浦江-浦江世博家园四街坊北江燕路68弄,2室2厅,82.9,41013,340,南北向,低层（共5层）,2006年建,"满二优质教育
                                        距8号线江月路站约597米"
万源城御�E,古美-古龙路588号、古龙路666弄,5室2厅,295.6,81191,2400,南北向,中层（共23层）,2016年建,"满二户型佳采光好
                                        距12号线东兰路站约715米"
金杨新村二街坊,金杨-金杨路273弄、金口路44弄、云山路1043,3室1厅,75,49067,368,南向,中层（共6层）,1994年建,"满二优质教育小区中心性价比高
                                        距6号线云山路站约280米"
桃源艺筑,惠南-拱极路3888弄,2室2厅,90.2,27716,250,南北向,中层（共16层）,2012年建,满五
上钢八村,世博-上钢八村1-52号,1室1厅,35,47143,165,南北向,中层（共6层）,1999年建,"满五优质教育
                                        距7号线长清路站约243米"
紫薇新村,华漕-北翟路5120弄,3室1厅,88,31818,280,南向,高层（共6层）,1995年建,满五优质教育采光好小区中心
雪野二村,世博-浦东南路4950弄、浦东南路4800弄、雪野,3室1厅,73.8,55556,410,南向,高层（共6层）,1996年建,"满五
                                        距7号线云台路站约387米"
御沁园公寓,周浦-周康路869弄,3室2厅,172,40698,700,南向,低层（共18层）,2019年建,配套成熟性价比高
永康城兴利苑,浦江-永高路255弄,1室2厅,60,24167,145,南向,低层（共18层）,2014年建,性价比高业主急售
浦江世博家园十五街坊,浦江-联航路2165弄,1室1厅,59,42881,253,南北向,高层（共11层）,2006年建,"满二优质教育
                                        距8号线联航路站约1025米"
华丽家族古北花园,古北-黄金城道555弄,3室2厅,206,105825,2180,南向,高层（共20层）,2013年建,"满五优质教育
                                        距10号线伊犁路站约562米"
五月花都荟豪庭,不夜城-芷江西路372号、普善路177弄,1室2厅,82.12,70628,580,东南向,低层（共38层）,2011年建,"满五性价比高业主急售
                                        距1号线中山北路站约438米"
绿地时代名邸,白鹤-绿地大道211号,2室2厅,85,19765,168,南向,低层（共21层）,2015年建,满二优质教育业主急售户型佳
曹杨二村,曹杨-曹杨路1107弄、曹杨路1117弄、曹杨二村,1室1厅,41,43902,180,南北向,中层（共6层）,1992年建,"满二优质教育
                                        距11号线枫桥路站约593米"
崧泽华城秀景苑,青浦城区-崧泽华城秀景苑崧润路1176弄、崧润路102,2室1厅,69,32754,226,南北向,高层（共18层）,2015年建,"满二优质教育总价低黄金楼层
                                        距17号线汇金路站约924米"
锦馨苑,田林-锦馨苑古井路38弄,2室2厅,100,63000,630,南北向,中层（共6层）,2004年建,"满五优质教育配套成熟性价比高
                                        距10号线宋园路站约1024米"
浦润苑(闵行),浦江-浦航路718弄,2室2厅,82,30732,252,南向,高层（共14层）,2013年建,满五性价比高业主急售
可逸兰亭,昆山-花集路588号,2室2厅,66,13455,88.8,南北向,低层（共24层）,2015年建,满二优质教育配套成熟拎包入住
城市经典四期高迪,张江-青桐路618弄,3室2厅,142.8,66527,950,南北向,低层（共11层）,2008年建,"满五优质教育
                                        距2号线广兰路站约362米"
翠湖天地雅苑,新天地-济南路168弄1-15号,3室2厅,191,108901,2080,南北向,中层（共21层）,2000年建,"满二优质教育配套成熟性价比高
                                        距10号线新天地站约372米"
天馨花园,杨行-蕴川路1498弄,3室2厅,98,34694,340,南北向,高层（共15层）,2007年建,"满五优质教育
                                        距1号线宝安公路站约682米"
秀康新城康桥宝邸,康桥-秀康新城康桥宝邸康弘路508弄,2室2厅,80.3,32752,263,南北向,中层（共14层）,2007年建,满五
北大街280弄小区,嘉定城区-北大街280弄,2室2厅,80.7,25031,202,南向,低层（共6层）,2000年建,满五
绿洲雅宾利花园一期,西藏北路-中华新路288弄,1室2厅,65,92308,600,南向,中层（共33层）,2008年建,"满五优质教育配套成熟景观房
                                        距8号线中兴路站约440米"
绿洲康城亲水湾,御桥-康桥路1558弄、康桥路1259弄,4室2厅,117,54701,640,南北向,高层（共17层）,2010年建,"满五
                                        距11号线御桥站约1156米"
宁和小区,大宁-大宁路540弄,2室1厅,57,74561,425,南向,中层（共6层）,1993年建,"满五优质教育配套成熟性价比高
                                        距1号线延长路站约434米"
贵龙园,塘桥-东方路1669弄、东方路1663弄,2室2厅,105,73333,770,南北向,高层（共17层）,2003年建,"满五优质教育性价比高户型佳
                                        距6号线上海儿童医学中心站约381米"
康桥半岛城中花园,康桥-秀沿路1028弄2支弄1-110号,3室2厅,134,39552,530,南北向,低层（共16层）,,满五性价比高业主急售
美罗家园润苑,罗店-年吉路650弄,2室2厅,80,25625,205,南向,低层（共18层）,2015年建,"满五
                                        距7号线美兰湖站约1190米"
上海香溢花城,光新-石泉东路168弄,1室2厅,74,80405,595,南向,中层（共31层）,2013年建,"优质教育
                                        距3号线中潭路站约862米"
东荷小区,金桥-东荷小区东陆路1018弄,1室1厅,55,40909,225,南向,低层（共6层）,1997年建,"满五优质教育性价比高业主急售
                                        距6号线五莲路站约419米"
宁和小区,大宁-大宁路540弄,1室1厅,42.21,97133,410,南向,低层（共18层）,1992年建,"满五优质教育
                                        距1号线延长路站约434米"
泷湾,赵巷-业前路1688弄,独栋,卧室：,27778,800,288�O,无花园,东向,满五
财富海景花园,陆家嘴-浦明路258弄,3室2厅,339.98,132331,4499,西北向,低层（共39层）,2005年建,"满五
                                        距9号线商城路站约977米"
金铭文博水景公寓,颛桥-都市路2501弄,2室2厅,77.4,51034,395,南北向,中层（共9层）,2014年建,"满五优质教育性价比高业主急售
                                        距5号线颛桥站约264米"
东城新村,杨东-锦安东路270弄、东建路680弄、锦安东路2,3室2厅,90.52,72912,660,南北向,高层（共6层）,2002年建,"满二优质教育
                                        距2号线世纪公园站约1158米"
江海花园,南桥-人民南路5号,2室2厅,90,21111,190,南向,中层（共6层）,2000年建,满五优质教育性价比高业主急售
颛溪五村,颛桥-颛兴路245弄,3室1厅,85,32706,278,南北向,中层（共6层）,1995年建,"满二优质教育配套成熟拎包入住
                                        距5号线颛桥站约595米"
新里城和合苑,三林-杨高南路4501弄1-139号,2室2厅,101,68317,690,南向,中层（共6层）,1999年建,满五优质教育性价比高户型佳
东方滨港园,三林-盛苑路777弄,1室1厅,60,81667,490,南向,低层（共6层）,2004年建,满五优质教育
上南四村,世博-上南四村上南路1251弄,2室1厅,56.4,43972,248,南北向,低层（共6层）,1983年建,"满五优质教育配套成熟首付低性价比高
                                        距8号线成山路站约236米"
阳光城滨江悦,东外滩-丹阳路188弄(近齐齐哈尔路),3室2厅,139.38,104032,1450,南北向,高层（共24层）,2016年建,满二
浦东星河湾,花木-浦东星河湾锦绣路2580弄,2室2厅,110,109091,1200,南向,高层（共19层）,2016年建,"满五优质教育
                                        距7号线锦绣路站约770米"
美罗家园润苑,罗店-年吉路650弄,2室1厅,77,25974,200,南北向,中层（共11层）,2016年建,"配套成熟首付低
                                        距7号线美兰湖站约1190米"
华丽家族古北花园,古北-黄金城道555弄,5室2厅,321.8,87011,2800,南北向,高层（共12层）,2006年建,"满五优质教育
                                        距10号线伊犁路站约562米"
嘉华苑,大华-嘉华苑新村路789弄、新沪路197弄,1室1厅,52,51923,270,南向,中层（共6层）,,"满五配套成熟性价比高
                                        距7号线新村路站约595米"
浦东星河湾,花木-锦绣路2580弄,5室3厅,379,102586,3888,南北向,中层（共19层）,2016年建,"优质教育
                                        距7号线锦绣路站约770米"
新丰小区,江宁路-余姚路180弄3-11号、常德路1039弄2,1室1厅,41,76829,315,南向,中层（共7层）,1995年建,"满五总价低性价比高
                                        距7号线昌平路站约374米"
飞碟苑,马桥-银春路1800弄,2室2厅,80.3,29265,235,南北向,高层（共6层）,2006年建,满五
石泉一村,光新-石泉路100弄,1室0厅,38.01,51302,195,西北向,低层（共6层）,1991年建,距3号线镇坪路站约621米
新城花屿湾,奉城-兰博路1455弄,2室1厅,77.6,18041,140,南向,中层（共8层）,2017年建,满二性价比高业主急售
宁和小区,大宁-大宁路540弄,1室1厅,43,95349,410,南向,低层（共18层）,1992年建,"满五优质教育
                                        距1号线延长路站约434米"
张江汤臣豪园四期,张江-藿香路238弄,2室2厅,105,89048,935,南向,高层（共11层）,2012年建,"满二优质教育
                                        距2号线张江高科站约666米"
中虹华苑,江桥-金园一路1115弄,2室2厅,74.25,37710,280,南北向,中层（共6层）,2005年建,"满五
                                        距13号线金运路约793米"
金瑞苑,徐泾-凤阁路1000弄,2室1厅,70,27143,190,南北向,低层（共18层）,2013年建,满五性价比高业主急售
塔城小区,嘉定城区-塔城小区塔城路331弄、城中路41弄、城中路,1室0厅,32.4,31790,103,南向,中层（共6层）,1984年建,满五优质教育
康桥花园,御桥-康士路15弄,2室1厅,95.91,35450,340,南北向,高层（共6层）,1996年建,满五优质教育拎包入住业主急售
永康城永锦苑,浦江-永康城永锦苑永颂路198弄,1室1厅,56.4,26596,150,南向,高层（共18层）,2015年建,满五业主急售黄金楼层
景雅苑,华漕-开兴路199弄,3室2厅,115.1,35447,408,南北向,中层（共12层）,2010年建,满五采光好小区中心
万科启宸,罗店-萧云路99弄,4室2厅,123,41463,510,南北向,低层（共4层）,,满五
新城金郡,嘉定新城-白银路1565号、临泽路88弄、临泽路89弄,2室2厅,88.7,34949,310,南北向,中层（共11层）,2012年建,"满五优质教育
                                        距11号线白银路站约512米"
粤亮湾景苑,周浦-周市路39弄,2室2厅,88,31818,280,南北向,中层（共18层）,2015年建,满五首付低户型佳
永康城香樟苑,浦江-永康城香樟苑盐铁塘路435弄,3室1厅,81.55,26364,215,南北向,高层（共18层）,2015年建,满二
保利叶上海,顾村-保利叶上海菊太路1198弄、联杨路1078弄,3室2厅,88.82,49538,440,南向,中层（共30层）,2010年建,满二配套成熟采光好
永康城兴利苑,浦江-永康城兴利苑永高路255弄,2室2厅,78.32,25536,200,南向,高层（共18层）,2013年建,满二
怡东花园,塘桥-环龙路263弄,2室2厅,105.27,75995,800,南北向,中层（共11层）,2000年建,"满五优质教育
                                        距6号线上海儿童医学中心站约326米"
中粮海景壹号,陆家嘴-银城中路600弄,4室2厅,340,205882,7000,南北向,高层（共39层）,2012年建,"满二配套成熟景观房
                                        距2号线陆家嘴站约694米"
名嘉新苑,三林-名嘉新苑永泰路1650弄,4室2厅,146.5,50512,740,南北向,中层（共18层）,2007年建,"满二优质教育
                                        距11号线浦三路站约763米"
东安公寓,江宁路-昌平路657号,2室2厅,106.6,66323,707,南北向,中层（共19层）,1998年建,"满五
                                        距7号线昌平路站约279米"
嘉旺苑,江桥-靖远路1288弄,2室2厅,95.63,35345,338,南北向,低层（共12层）,2006年建,满五优质教育小区中心总价低
高境一村,高境-殷高西路101弄,2室1厅,68.3,40996,280,南向,低层（共6层）,1995年建,"满五优质教育配套成熟性价比高
                                        距3号线殷高西路站约421米"
翠湖天地御苑,新天地-顺昌路168弄,2室2厅,151.3,148711,2250,南北向,高层（共36层）,2006年建,"满五优质教育配套成熟小区中心
                                        距10号线新天地站约439米"
中鹰黑森林,万里-新村路1717弄,3室2厅,141.7,88215,1250,南北向,中层（共21层）,2016年建,满五
中房公寓,江桥-金耀路333弄,2室2厅,74,38649,286,南北向,高层（共7层）,2006年建,"满五配套成熟小区中心
                                        距13号线金运路约1067米"
北大街280弄小区,嘉定城区-北大街280弄,2室2厅,80.7,25774,208,南北向,低层（共7层）,1997年建,满五
永康城香樟苑,浦江-永康城香樟苑盐铁塘路435弄,3室1厅,81.58,25987,212,南向,高层（共18层）,2014年建,满五
新时代景庭,古美-古龙路287弄,4室2厅,168,84524,1420,南北向,高层（共4层）,2004年建,满五优质教育性价比高业主急售
贝港南区,南桥-南桥贝港南区1-4号、101-131号、20,2室1厅,78.2,20716,162,南向,低层（共6层）,1996年建,满五性价比高业主急售
圣卡洛铂庭,顾村-圣卡洛铂庭沙浦路518弄,3室2厅,135.5,29889,405,南北向,中层（共14层）,,满五配套成熟户型佳
博富尚城,昆山-博富尚城昆山市花桥镇玉桥路368号,2室2厅,75,9733,73,南向,中层（共12层）,2014年建,满五配套成熟小区中心
嘉业海悦,海湾旅游区-海马路2155弄,2室2厅,89.1,16274,145,南北向,中层（共11层）,2015年建,满二
春江美庐,杨行-松兰路198弄,2室2厅,81.5,36810,300,南北向,低层（共18层）,2012年建,满五优质教育
美罗家园润苑,罗店-年吉路650弄,1室1厅,58,24483,142,南向,低层（共18层）,2015年建,"性价比高户型佳
                                        距7号线美兰湖站约1190米"
盛华景苑,华泾-龙吴路2888弄,1室1厅,62,42742,265,南向,高层（共18层）,2013年建,满五采光好景观房
浦江世博家园十二街坊,浦江-浦驰路235弄,2室2厅,93,43548,405,南向,高层（共12层）,2006年建,"满五优质教育业主急售配套成熟
                                        距8号线联航路站约1000米"
徐泾北城新丰公寓,徐泾-凤徐路85弄,2室2厅,84,29167,245,南北向,中层（共18层）,2014年建,满五性价比高业主急售
地杰国际城,御桥-御桥路1978弄,2室2厅,103,57282,590,南向,中层（共26层）,2005年建,"满二优质教育
                                        距11号线御桥站约227米"
绿地东上海,康桥-秀浦路788弄、秀浦路800弄,2室2厅,89,51124,455,南北向,高层（共20层）,2013年建,满五
新凯家园,泗泾-古楼公路1858弄,2室2厅,77.9,30552,238,南北向,高层（共6层）,2010年建,"满五优质教育
                                        距9号线佘山站约552米"
浦江世博家园六街坊,浦江-北江燕路338弄,3室2厅,125.24,42319,530,南北向,中层（共12层）,2007年建,"满二优质教育
                                        距8号线江月路站约989米"
月湖山庄,佘山-林荫新路255弄、林荫新路1888弄,独栋,卧室：,47706,2600,545�O,花园：1800.0平米,北向,"满五优质教育
                                        距9号线佘山站约1021米"
玉乐小区,松江老城-荣乐西路1635弄,3室2厅,117,23504,275,南北向,中层（共6层）,2007年建,满五优质教育性价比高业主急售
市光一村,中原-市光一村1-129号,2室1厅,69.23,46945,325,南北向,低层（共6层）,1987年建,"满五配套成熟小区中心
                                        距8号线嫩江路站约426米"
香逸湾,杨行-香逸湾莲花山路517弄、竹韵路58弄、竹韵路,3室2厅,88.7,41714,370,南向,中层（共12层）,2009年建,满五
广裕小区,江湾镇-广粤路1601弄,2室1厅,72.16,48503,350,南向,高层（共6层）,1996年建,无
宁和小区,大宁-大宁路540弄,1室1厅,42.21,97133,410,南向,低层（共18层）,1992年建,"满五优质教育
                                        距1号线延长路站约434米"
翠湖天地隽荟,新天地-济南路260弄,3室2厅,296.39,148453,4400,南北向,高层（共29层）,2015年建,"满五小区中心赠露台
                                        距10号线新天地站约337米"
崧泽华城华中苑,青浦城区-崧漪一路55弄、崧漪一路46弄、秀涓路492,2室2厅,81.9,21368,175,南向,低层（共3层）,2008年建,满五优质教育
中虹华苑,江桥-金园一路1115弄,2室2厅,74.25,37710,280,南北向,中层（共6层）,2005年建,"满五
                                        距13号线金运路约793米"
美罗家园润苑,罗店-年吉路650弄,2室2厅,79,25949,205,南向,低层（共18层）,2015年建,"满五首付低总价低
                                        距7号线美兰湖站约1190米"
雍和府,罗泾-潘泾路5777弄,3室2厅,90,28444,256,南向,高层（共11层）,,满五
市光一村,中原-市光一村1-129号,2室1厅,69.23,46945,325,南北向,高层（共6层）,1987年建,"满五配套成熟小区中心
                                        距8号线嫩江路站约426米"
翠湖天地御苑,新天地-顺昌路168弄,3室2厅,154,162338,2500,南向,低层（共12层）,2006年建,"满二优质教育
                                        距10号线新天地站约439米"
万科新里程,三林-高青路2878弄,2室2厅,93.9,76677,720,南北向,中层（共18层）,2007年建,满五优质教育
